DIGNIDAD_CODIGO;PROVINCIA_CODIGO;CANTON_CODIGO;PARROQUIA_CODIGO;SEXO;NUMERO_DE_ACTAS;VOTOS_EN_BLANCO;VOTOS_NULOS;OP_CODIGO;CANDIDATO_CODIGO;CANDIDATO_VOTOS;CANDIDATO_ESTADO
1;1;555;1690;1;1;3;19;5;1000000000004;22; 
1;1;855;4560;2;1;3;11;5;1000000000004;62; 
1;1;855;4560;1;1;3;11;5;1000000000004;35; 
1;1;855;6565;2;6;12;100;5;1000000000004;365; 
1;1;855;6565;1;6;6;46;5;1000000000004;292; 
1;1;285;15;2;3;11;63;5;1000000000004;177; 
1;1;285;15;1;4;8;48;5;1000000000004;187; 
1;1;285;1130;2;1;12;26;5;1000000000004;31; 
1;1;285;1130;1;2;10;23;5;1000000000004;42; 
1;1;285;6045;2;19;44;311;5;1000000000004;1012; 
1;1;285;6045;1;20;20;250;5;1000000000004;926; 
1;1;285;3835;2;3;8;59;5;1000000000004;107; 
1;1;285;3835;1;3;9;25;5;1000000000004;101; 
1;1;955;85;2;2;4;22;5;1000000000004;42; 
1;1;955;85;1;2;9;14;5;1000000000004;53; 
1;1;955;2725;2;4;15;64;5;1000000000004;119; 
1;1;955;2725;1;4;8;61;5;1000000000004;148; 
1;1;955;6480;2;4;7;62;5;1000000000004;123; 
1;1;955;6480;1;4;9;47;5;1000000000004;157; 
1;1;280;750;2;2;6;58;5;1000000000004;64; 
1;1;280;750;1;2;3;24;5;1000000000004;40; 
1;1;280;1355;2;5;22;157;5;1000000000004;150; 
1;1;280;1355;1;5;6;87;5;1000000000004;97; 
1;1;280;1490;2;2;6;32;5;1000000000004;48; 
1;1;280;1490;1;2;4;13;5;1000000000004;38; 
1;1;280;2215;2;6;34;127;5;1000000000004;171; 
1;1;280;2215;1;5;16;77;5;1000000000004;121; 
1;1;280;3360;2;5;18;178;5;1000000000004;154; 
1;1;280;3360;1;4;8;74;5;1000000000004;107; 
1;1;280;3495;2;4;13;56;5;1000000000004;52; 
1;1;280;3495;1;3;5;38;5;1000000000004;47; 
1;1;280;6085;2;18;78;552;5;1000000000004;557; 
1;1;280;6085;1;16;22;284;5;1000000000004;463; 
1;2;760;6340;2;17;52;556;5;1000000000004;1373; 
1;2;760;6340;1;18;48;444;5;1000000000004;1705; 
1;2;180;5245;2;19;98;724;5;1000000000004;831; 
1;2;180;5245;1;19;81;610;5;1000000000004;835; 
1;2;180;3500;2;8;31;242;5;1000000000004;430; 
1;2;180;3500;1;9;32;197;5;1000000000004;579; 
1;2;170;170;2;5;21;210;5;1000000000004;174; 
1;2;170;170;1;4;11;151;5;1000000000004;226; 
1;2;170;2315;2;4;4;150;5;1000000000004;235; 
1;2;170;2315;1;4;8;127;5;1000000000004;258; 
1;2;170;5975;2;10;20;216;5;1000000000004;765; 
1;2;170;5975;1;9;25;136;5;1000000000004;813; 
1;2;170;3655;2;2;3;50;5;1000000000004;75; 
1;2;170;3655;1;1;2;45;5;1000000000004;77; 
1;2;170;3995;2;2;16;79;5;1000000000004;142; 
1;2;170;3995;1;2;2;60;5;1000000000004;163; 
1;2;185;5350;2;17;64;531;5;1000000000004;1432; 
1;2;185;5350;1;19;58;413;5;1000000000004;1619; 
1;2;165;5035;2;20;25;487;5;1000000000004;1122; 
1;2;165;5035;1;17;39;318;5;1000000000004;1205; 
1;2;165;1255;2;3;28;125;5;1000000000004;97; 
1;2;165;1255;1;4;24;104;5;1000000000004;123; 
1;2;165;5375;2;25;89;859;5;1000000000004;1349; 
1;2;165;5375;1;22;53;553;5;1000000000004;1474; 
1;2;165;6630;2;32;279;1481;5;1000000000004;944; 
1;2;165;6630;1;29;119;890;5;1000000000004;1133; 
1;2;165;1890;2;3;36;148;5;1000000000004;93; 
1;2;165;1890;1;3;13;129;5;1000000000004;96; 
1;2;165;3285;2;4;27;198;5;1000000000004;74; 
1;2;165;3285;1;5;11;116;5;1000000000004;129; 
