DIGNIDAD_CODIGO;DIGNIDAD_NOMBRE;PROVINCIA_CODIGO;PROVINCIA_NOMBRE;CIRCUNSCRIPCION_CODIGO_ORIGINAL;CIRCUNSCRIPCION_NOMBRE;CANTON_CODIGO;CANTON_NOMBRE;PARROQUIA_CODIGO;PARROQUIA_NOMBRE;JUNTA_SEXO;CANDIDATO_CODIGO;VOTOS_EN_BLANCO;VOTOS_NULOS;ELECTORES_REGISTRO;ELECTORES_RESULTADOS;SUFRAGANTES;CANDIDATO_VOTOS
1;1;1;1;0;10;260;260;5450;5450;M;16;16;299;8321;8323;6454;3613
1;1;1;1;0;10;260;260;5450;5450;M;502;16;299;8321;8323;6454;2526
1;1;1;1;0;10;260;260;5875;5875;F;16;18;315;7267;7267;5617;2742
1;1;1;1;0;10;260;260;5875;5875;F;502;18;315;7267;7267;5617;2542
1;1;1;1;0;10;260;260;5875;5875;M;16;13;211;5961;5962;4351;2220
1;1;1;1;0;10;260;260;5875;5875;M;502;13;211;5961;5962;4351;1907
1;1;1;1;0;10;260;260;5905;5905;F;16;38;513;13308;13308;9735;4782
1;1;1;1;0;10;260;260;5905;5905;F;502;38;513;13308;13308;9735;4401
1;1;1;1;0;10;260;260;5905;5905;M;16;31;474;13160;13168;9073;4628
1;1;1;1;0;10;260;260;5905;5905;M;502;31;474;13160;13168;9073;3938
1;1;1;1;0;10;260;260;5930;5930;F;16;23;529;12759;12759;9839;5377
1;1;1;1;0;10;260;260;5930;5930;F;502;23;529;12759;12759;9839;3910
1;1;1;1;0;10;260;260;5930;5930;M;16;25;363;11214;11215;8313;4600
1;1;1;1;0;10;260;260;5930;5930;M;502;25;363;11214;11215;8313;3325
1;1;1;1;0;10;260;260;6010;6010;F;16;56;853;17857;17857;14272;6794
1;1;1;1;0;10;260;260;6010;6010;F;502;56;853;17857;17857;14272;6569
1;1;1;1;0;10;260;260;6010;6010;M;16;42;757;17109;17116;13012;6502
1;1;1;1;0;10;260;260;6010;6010;M;502;42;757;17109;17116;13012;5711
1;1;1;1;0;10;260;260;6090;6090;F;16;45;512;12185;12185;9555;5101
1;1;1;1;0;10;260;260;6090;6090;F;502;45;512;12185;12185;9555;3897
1;1;1;1;0;10;260;260;6090;6090;M;16;28;385;11288;11292;8515;4687
1;1;1;1;0;10;260;260;6090;6090;M;502;28;385;11288;11292;8515;3415
1;1;1;1;0;10;260;260;6865;6865;F;16;21;309;4245;4245;3819;1259
1;1;1;1;0;10;260;260;6865;6865;F;502;21;309;4245;4245;3819;2230
1;1;1;1;0;10;260;260;6865;6865;M;16;25;195;3743;3743;3273;1219
1;1;1;1;0;10;260;260;6865;6865;M;502;25;195;3743;3743;3273;1834
1;1;1;1;0;10;265;265;1005;1005;F;16;25;60;1135;1135;746;231
1;1;1;1;0;10;265;265;1005;1005;F;502;25;60;1135;1135;746;430
1;1;1;1;0;10;265;265;1005;1005;M;16;3;38;1078;1078;490;178
1;1;1;1;0;10;265;265;1005;1005;M;502;3;38;1078;1078;490;271
1;1;1;1;0;10;265;265;1760;1760;F;16;1;23;290;290;230;78
1;1;1;1;0;10;265;265;1760;1760;F;502;1;23;290;290;230;128
1;1;1;1;0;10;265;265;1760;1760;M;16;2;21;239;239;169;57
1;1;1;1;0;10;265;265;1760;1760;M;502;2;21;239;239;169;89
1;1;1;1;0;10;265;265;1805;1805;F;16;27;115;1913;1913;1655;549
1;1;1;1;0;10;265;265;1805;1805;F;502;27;115;1913;1913;1655;964
1;1;1;1;0;10;265;265;1805;1805;M;16;16;98;1689;1689;1302;493
1;1;1;1;0;10;265;265;1805;1805;M;502;16;98;1689;1689;1302;695
1;1;1;1;0;10;265;265;2385;2385;F;16;10;72;1106;1106;739;249
1;1;1;1;0;10;265;265;2385;2385;F;502;10;72;1106;1106;739;408
1;1;1;1;0;10;265;265;2385;2385;M;16;3;47;1158;1158;573;220
1;1;1;1;0;10;265;265;2385;2385;M;502;3;47;1158;1158;573;303
1;1;1;1;0;10;265;265;3160;3160;F;16;14;22;481;481;342;105
1;1;1;1;0;10;265;265;3160;3160;F;502;14;22;481;481;342;201
