DIGNIDAD_CODIGO;DIGNIDAD_NOMBRE;OP_CODIGO;NUM_PARTIDO;CANDIDATO_CODIGO;CANDIDATO_ORDEN_LISTA;CANDIDATO_NOMBRE;CANDIDATO_SEXO;CANDIDATO_GRUPO_EDAD;CANDIDATO_TERRITORIO_CODIGO;CANDIDATO_TERRITORIO_NOMBRE;CANDIDATO_PROVINCIA_CODIGO;CANDIDATO_PROVINCIA_NOMBRE;CANDIDATO_CIRCUNSCRIPCION_CODIGO_ORIGINAL;CANDIDATO_CIRCUNSCRIPCION_CODIGO;CANDIDATO_CIRCUNSCRIPCION_NOMBRE;SUPLENTE1_NOMBRE;SUPLENTE1_SEXO;SUPLENTE1_GRUPO_EDAD;SUPLENTE2_NOMBRE;SUPLENTE2_SEXO;SUPLENTE2_GRUPO_EDAD
7;7;618;006;371;3;LOYOLA POLO MAURICIO IVAN;1;3;1;1;1;1;0;10;10;CORDERO MALDONADO THIARA VALENTINA;2;3; ; ; 
7;7;739;012;390;1;ORDOÑEZ ARAY DARIO ALBERTO;1;3;1;1;1;1;0;10;10;ORELLANA LLIGUAIPUMA DANIELA GABRIELA;2;2; ; ; 
7;7;676;019;1819;5;VASQUEZ HUIRACOCHA VINICIO ROLANDO;1;2;1;1;1;1;0;10;10;ANDRADE CHACHO JERMANY CRISTINA;2;1; ; ; 
7;7;720;001;202;2;ASTUDILLO AGUILAR ALICIA JOSEFINA;2;3;1;1;1;1;0;10;10;ROLDAN LEON DARWIN NAPOLEON;1;6; ; ; 
7;7;618;006;372;4;GEORCKE TORRES GREETSHEN CATALINA;2;3;1;1;1;1;0;10;10;PALACIOS PIEDRA JUAN CARLOS;1;2; ; ; 
7;7;64;082002;1743;2;MARTINEZ LEDESMA ALICIA LEONOR;2;3;1;1;1;1;0;10;10;SOLANO JARA FELIPE GONZALO;1;2; ; ; 
7;7;737;061;995;5;JIMENEZ SASAGUAY IVAN PATRICIO;1;3;1;1;1;1;0;10;10;OROZCO BAUTISTA MARLENE DALILA;2;3; ; ; 
7;7;740;007;319;1;CRESPO ROSALES JUAN ALFONSO;1;3;1;1;1;1;0;10;10;CHICA JIMENEZ ADRIANA PRISCILA;2;1; ; ; 
7;7;42;035017;950;5;JARA ESPINOZA GUSTAVO ROBERTO;1;2;1;1;1;1;0;10;10;REINOSO BRITO DIANA ELIZABETH;2;2; ; ; 
7;7;2;021023;240;3;CORONEL SANMARTIN ARMANDO RAMIRO;1;3;1;1;9;9;4;94;94;LOPEZ CEREZO ROSA DEL CONSUELO;2;4; ; ; 
7;7;740;007;325;5;CREAMER RAMOS JUAN CARLOS;1;3;1;1;1;1;0;10;10;PAZMIÑO PESANTEZ MARIA AUGUSTA;2;1; ; ; 
7;7;720;001;203;3;SAQUIPAY PAÑI JAIME ROLANDO;1;2;1;1;1;1;0;10;10;CESPEDES MANZO TANYA PRISCILA;2;2; ; ; 
7;7;676;019;1817;4;BRITO FLORES MARIA EULALIA;2;3;1;1;1;1;0;10;10;CORDERO BERMEO BLAS ALEXANDER;1;1; ; ; 
7;7;737;061;974;1;MENDEZ VINTIMILLA SERGIO ENRIQUE;1;3;1;1;1;1;0;10;10;PLAZA GORDILLO PAOLA LILIANA;2;2; ; ; 
7;7;53;002012017;1523;2;ESCANDON GUEVARA FRANCISCO JAVIER;1;2;1;1;3;3;0;30;30;PARRA CHACHA SILVIA MARIANELA;2;2; ; ; 
